web-scraper-order,web-scraper-start-url,listinglinks,listinglinks-href,stocknumber,mileage,price,Dealer,Header,Dealerindetails,vin,Dealership Full Name
1623037364-405,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=69,"Save this listing2017 Mercedes-Benz C-Class C 300 4MATICsee listing detailsDescription: Used 2017 Mercedes-Benz C-Class C 300 4MATIC for sale - $32,995 - 40,567 kmCertified Pre-Owned: NoTransmission: AutomaticColour: Black$32,995$637/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $32,995 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.40,567 kmFAIR DEAL$1,306 ABOVEDealer4.8  (5)Guru9YK6FGMar. 4, 2021Good. Got the photos to meGuru9YJ5H4Feb. 21, 2021Silvio and Paul are great guys.  They are looking for a vehicle for meGuru27B1WApr. 10, 2020Excellent help with information. Prompt friendly.Read 2 more dealer reviews...Kingston, ON (3 km)(613) 704-8365Request Information",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=303448945,B7606,"40,567 kilometres","$32,995 ",Carloft Kingston,"2017 Mercedes-Benz C-Class C 300 4MATIC - $32,995",null,55SWF4KB5HU228859,Carloft Kingston
1623038099-450,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=66,"Image Not AvailableSave this listingNEW: Just added2012 RAM 2500 Laramie Crew Cab 4WDsee listing detailsDescription: Used 2012 RAM 2500 Laramie Crew Cab 4WD for sale - $30,995 - 115,325 km with Leather Seats, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Heated SeatsCertified Pre-Owned: NoTransmission: AutomaticColour: BLACK$30,995$598/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $30,995 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.115,325 kmFAIR DEAL$1,504 BELOWDealer5  (1)CarGurus UserMar. 17, 2020Really great dealership.  Very quick response to each email, and they answered each question.
They were very courteous.  I would recommend them to anyone looking for a new or used car.
Read all dealer reviews...Napanee, ON (33 km)(226) 702-2474Request Information",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=304559344,21-200AA,"115,325 kilometres","$30,995 ",Boyer Chevrolet Buick GMC Napanee,"2012 RAM 2500 Laramie Crew Cab 4WD - $30,995",null,3C6TD5FT3CG270461,Boyer Chevrolet Buick GMC Napanee
1623031924-59,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=92,"Save this listing2019 RAM 3500 Laramie Crew Cab LB DRW 4WDsee listing detailsDescription: Used 2019 RAM 3500 Laramie Crew Cab LB DRW 4WD for sale - $99,995 - 25,734 km with Leather Seats, Bluetooth, Backup Camera, Remote Start, Parking Sensors, Heated SeatsCertified Pre-Owned: NoTransmission: AutomaticColour: Diamond Black Crystal Pearl$99,995$1,929/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $99,995 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.25,734 kmUNCERTAIN$19,039 ABOVEDealer4.8  (5)Guru9YK6FGMar. 4, 2021Good. Got the photos to meGuru9YJ5H4Feb. 21, 2021Silvio and Paul are great guys.  They are looking for a vehicle for meCarGurus UserDec. 10, 2020it wasn't Kingston but Napanee, but I had a great experience dealing with Paul and Silvio. 
they were very easy and pleasant to deal with. I am very happy with my RogueRead 2 more dealer reviews...Kingston, ON (3 km)(613) 704-8365Request Information",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=297514911,B7463,"25,734 kilometres","$99,995 ",Carloft Kingston,"2019 RAM 3500 Laramie Crew Cab LB DRW 4WD - $99,995",null,3C63RRJL7KG651258,Carloft Kingston
1623048357-1032,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=28,"Save this listing2020 Hyundai Elantra Preferred Sedan FWDsee listing detailsDescription: Used 2020 Hyundai Elantra Preferred Sedan FWD for sale - $17,795 - 40,875 km with Alloy Wheels, Backup Camera, Heated SeatsCertified Pre-Owned: NoTransmission: Continuously Variable TransmissionColour: White$17,795$344/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $17,795 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.40,875 kmFAIR DEAL$337 BELOWDealer4.3  (7)CarGurus UserApr. 12, 2021Was niceGuru9Y2PF4Feb. 24, 2021I contacted the dealer and in my email I had questions 
regarding the vehicle and financing. I promptly 
received a reply addressing my concerns. He offered 
to contact me later that day but i took the opportunity 
to call him. He was extremely professional and 
knowledgeable. I was under no pressure at all. I highly 
recommend them. Guru993RRTOct. 29, 2020We contacted My Car Kingston when we located a vehicle of our interest and they promptly replied. Due to the 
Covid 19 situation at this time we were not able to go to Kingston and they quickly helped us get into contact 
with a My Car business close to us and have the car we were interested in brought to us.Read 4 more dealer reviews...Kingston, ON (0 km)(613) 777-1940Request Information",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=298340179,210230,"40,875 kilometres","$17,795 ",My Car Kingston,"2020 Hyundai Elantra Preferred Sedan FWD - $17,795",null,KMHD84LF3LU914768,My Car Kingston
1623031884-55,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=93,"Save this listing2019 Porsche Cayenne Turbo AWDsee listing detailsDescription: Used 2019 Porsche Cayenne Turbo AWD for sale - $129,897 - 25,409 km with Leather Seats, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Heated SeatsCertified Pre-Owned: NoTransmission: AutomaticColour: White$129,897$2,506/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $129,897 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.25,409 kmFAIR DEAL$930 BELOWDealer5  (1)CarGurus UserDec. 17, 2020Nice dealership. Nice people. Good experience. I would recommend.Read all dealer reviews...Kingston, ON (5 km)Request Information",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=302470516,PL21051,"25,409 kilometres","$129,897 ",null,"2019 Porsche Cayenne Turbo AWD - $129,897",Lexus of Kingston,WP1AF2AY0KDA80235,Lexus of Kingston
1623035584-298,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=77,"Save this listing2018 Toyota Highlander XLE AWDsee listing detailsDescription: Used 2018 Toyota Highlander XLE AWD for sale - $38,995 - 29,600 km with Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Third Row Seating, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Heated SeatsCertified Pre-Owned: NoTransmission: 8-Speed AutomaticColour: White$38,995$753/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $38,995 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.29,600 kmFAIR DEAL$125 ABOVEDealer4.8  (6)CarGurus UserNov. 15, 2020Joe was great -- contacted me by phone right away, and was v. helpful with information, 
both on the phone and later answering my questions via email.CarGurus UserSep. 1, 2020Yes the dealership got right back to me 
The salesperson Bradie was amazing and very efficient. Since I’m out of town he sent me all the photos and car spec information I asked for to view. 
Bradie has excellent communication skills and was outstanding providing excellent customer service. 
I high recommend this dealership. 
They went beyond customers satisfaction. 
Thank you Suzanne NanacoulmoonMay 14, 2020Quick to respond considering 
covid-19. Read 3 more dealer reviews...Kingston, ON (3 km)(613) 706-3404Request Information",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=300211691,9044,"29,600 kilometres","$38,995 ",AutoHouse Kingston,"2018 Toyota Highlander XLE AWD - $38,995",null,5TDJZRFH5JS541930,AutoHouse Kingston
1623048050-1016,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=29,"Save this listing2020 Kia Forte LX FWDsee listing detailsDescription: Used 2020 Kia Forte LX FWD for sale - $17,995 - 23,375 km with Steel Wheels, Bluetooth, Backup Camera, Heated Seats, Android Auto, CarPlayCertified Pre-Owned: NoTransmission: AutomaticColour: Grey$17,995$348/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $17,995 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.23,375 kmFAIR DEAL$78 ABOVEDealer4.8  (6)CarGurus UserNov. 15, 2020Joe was great -- contacted me by phone right away, and was v. helpful with information, 
both on the phone and later answering my questions via email.CarGurus UserSep. 1, 2020Yes the dealership got right back to me 
The salesperson Bradie was amazing and very efficient. Since I’m out of town he sent me all the photos and car spec information I asked for to view. 
Bradie has excellent communication skills and was outstanding providing excellent customer service. 
I high recommend this dealership. 
They went beyond customers satisfaction. 
Thank you Suzanne NanacoulmoonMay 14, 2020Quick to respond considering 
covid-19. Read 3 more dealer reviews...Kingston, ON (3 km)(613) 706-3404Request Information",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=302172765,9066,"23,375 kilometres","$17,995 ",AutoHouse Kingston,"2020 Kia Forte LX FWD - $17,995",null,3KPF24AD6LE218971,AutoHouse Kingston
1623047937-1009,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=29,"Save this listing2019 Kia Fortesee listing detailsDescription: Used 2019 Kia Forte for sale - $17,995 - 62,214 km with Alloy Wheels, Bluetooth, Backup Camera, Blind Spot Monitoring, Heated Seats, Android Auto, CarPlayCertified Pre-Owned: NoTransmission: AutomaticColour: White$17,995$348/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $17,995 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.62,214 kmFAIR DEAL$43 ABOVEDealer4.8  (5)Guru9YK6FGMar. 4, 2021Good. Got the photos to meGuru9YJ5H4Feb. 21, 2021Silvio and Paul are great guys.  They are looking for a vehicle for meCarGurus UserDec. 10, 2020it wasn't Kingston but Napanee, but I had a great experience dealing with Paul and Silvio. 
they were very easy and pleasant to deal with. I am very happy with my RogueRead 2 more dealer reviews...Kingston, ON (3 km)(613) 704-8365Request Information",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=302859080,B7511,"62,214 kilometres","$17,995 ",Carloft Kingston,"2019 Kia Forte - $17,995",null,3KPF54AD4KE101203,Carloft Kingston
1623053596-1281,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=11,"Save this listing2019 Nissan Micra S FWDsee listing detailsDescription: Used 2019 Nissan Micra S FWD for sale - $12,999 - 16,763 km with Steel Wheels, Bluetooth, Backup CameraCertified Pre-Owned: NoTransmission: AutomaticColour: RED$12,999$251/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $12,999 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.16,763 kmGOOD DEAL$1,474 BELOWDealer4.7  (3)CarGurus UserJan. 11, 2021Great group to deal withGuru9DNRZXNov. 29, 2020They were actually really great best ones I’ve dealt with in a long time we’ll go back to themCarGurus UserSep. 6, 2019The woman I spoke with was great and I would definitely deal with them in the future!Read all dealer reviews...Kingston, ON (3 km)Request InformationAuthorized Nissan Dealer",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=303454209,N3160A,"16,763 kilometres","$12,999 ",null,"2019 Nissan Micra S FWD - $12,999",James Braden Nissan,3N1CK3CP0KL237498,James Braden Nissan
1623045104-859,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=39,"Save this listing2020 Kia Soul EX FWDsee listing detailsDescription: Used 2020 Kia Soul EX FWD for sale - $20,995 - 23,983 km with Alloy Wheels, Bluetooth, Backup Camera, Blind Spot Monitoring, Heated Seats, Android Auto, CarPlayCertified Pre-Owned: NoTransmission: AutomaticColour: Black$20,995$405/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $20,995 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.23,983 kmFAIR DEAL$286 ABOVEDealer4.8  (5)Guru9YK6FGMar. 4, 2021Good. Got the photos to meGuru9YJ5H4Feb. 21, 2021Silvio and Paul are great guys.  They are looking for a vehicle for meGuru27B1WApr. 10, 2020Excellent help with information. Prompt friendly.Read 2 more dealer reviews...Kingston, ON (3 km)(613) 704-8365Request Information",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=303344513,B7598,"23,983 kilometres","$20,995 ",Carloft Kingston,"2020 Kia Soul EX FWD - $20,995",null,KNDJ33AU4L7700677,Carloft Kingston
